rank,company,ticker,country,sector,sector_group,company_stage,norm_mode,esg_score_today,e_momentum,s_momentum,g_momentum,i_momentum,w_E,w_S,w_G,w_I,say_do_gap,say_do_confidence,value_gap,momentum_score,quadrant,weight_rationale
13,PLDT,TEL,Philippines,Communication Services,Digital,Mature/Established,sector,52.3,59.4,65.3,61.6,44.5,0.14,0.34,0.34,0.18,0.012,unverified,-0.065,64.9,Hidden Winners,A mature platform is judged on how it treats workers and users and on board discipline; being early to AI matters less once growth has settled.
14,Astra International,ASII,Indonesia,Consumer Cyclical,Consumer,Mature/Established,sector,63.0,59.7,62.7,57.6,56.8,0.3,0.34,0.26,0.1,0.041,unverified,0.37,63.8,Future Leaders,"The supply chain sits in both E and S — land use, sourcing, labour — and that is where consumer-facing scandals actually originate."
15,CIMB Group,1023.KL,Malaysia,Financial Services,Financial,Mature/Established,sector,67.8,77.6,55.1,70.0,53.2,0.15,0.25,0.45,0.15,0.242,unverified,0.413,63.7,Future Leaders,"A bank's own footprint is negligible; what actually breaks a bank is governance, so G leads and E enters only through financed exposure."
16,CapitaLand Invest,9CI,Singapore,Real Estate,Industrial,Mature/Established,sector,78.0,63.3,63.3,68.0,71.5,0.34,0.3,0.26,0.1,0.472,unverified,0.478,63.1,Future Leaders,"Physical operations carry a real footprint and real worker-safety exposure, so E and S are close to balanced."
17,Bank Central Asia,BBCA,Indonesia,Financial Services,Financial,Mature/Established,sector,71.0,62.5,67.2,56.9,45.4,0.15,0.25,0.45,0.15,0.105,unverified,-0.283,62.3,Future Leaders,"A bank's own footprint is negligible; what actually breaks a bank is governance, so G leads and E enters only through financed exposure."
18,MR DIY,5296.KL,Malaysia,Consumer Cyclical,Consumer,High-Growth/Scaling,sector,52.7,62.5,58.2,64.6,28.9,0.27,0.36,0.25,0.12,0.0,unverified,-0.37,62.3,Hidden Winners,"Same supply-chain exposure, with hiring and workforce practice weighted up because rapid expansion is where labour standards slip first."
19,Keppel Ltd,BN4,Singapore,Industrials,Industrial,Mature/Established,sector,66.0,70.7,55.6,55.8,75.3,0.34,0.3,0.26,0.1,0.355,unverified,0.261,61.3,Future Leaders,"Physical operations carry a real footprint and real worker-safety exposure, so E and S are close to balanced."
20,Vingroup,VIC,Vietnam,Consumer Cyclical,Consumer,High-Growth/Scaling,sector,41.0,54.8,66.4,56.0,75.1,0.27,0.36,0.25,0.12,0.225,unverified,0.087,60.8,Hidden Winners,"Same supply-chain exposure, with hiring and workforce practice weighted up because rapid expansion is where labour standards slip first."
21,Advanced Info Service,ADVANC.BK,Thailand,Communication Services,Digital,Mature/Established,sector,68.0,60.5,58.8,56.2,73.7,0.14,0.34,0.34,0.18,0.344,unverified,-0.413,60.8,Future Leaders,A mature platform is judged on how it treats workers and users and on board discipline; being early to AI matters less once growth has settled.
22,Ayala Land,ALI,Philippines,Real Estate,Industrial,Mature/Established,sector,64.0,58.5,59.4,53.5,44.4,0.34,0.3,0.26,0.1,0.148,unverified,0.0,60.3,Future Leaders,"Physical operations carry a real footprint and real worker-safety exposure, so E and S are close to balanced."
23,Central Pattana,CPN.BK,Thailand,Real Estate,Industrial,Mature/Established,sector,65.0,62.6,56.4,57.7,34.9,0.34,0.3,0.26,0.1,0.223,unverified,-0.217,59.4,Future Leaders,"Physical operations carry a real footprint and real worker-safety exposure, so E and S are close to balanced."
24,IHH Healthcare,5225.KL,Malaysia,Healthcare,Health,Mature/Established,sector,67.0,56.3,59.7,54.5,62.2,0.12,0.46,0.3,0.12,0.254,unverified,-0.152,58.4,Overrated Leaders,"Product safety, labour conditions and access dominate; the footprint of a glove or device maker is small next to what a recall costs."
25,Grab Holdings,GRAB,Singapore,Technology,Digital,High-Growth/Scaling,sector,46.0,47.7,55.8,61.0,60.5,0.1,0.38,0.27,0.25,0.158,unverified,-0.283,56.7,Value Traps,"No material footprint. The real risks are labour practice, data handling and founder control, and at this stage innovation genuinely is the moat."
26,DBS Group,D05,Singapore,Financial Services,Financial,Mature/Established,sector,74.0,57.9,49.2,47.4,90.1,0.15,0.25,0.45,0.15,0.446,unverified,-0.152,54.9,Overrated Leaders,"A bank's own footprint is negligible; what actually breaks a bank is governance, so G leads and E enters only through financed exposure."
27,Bangkok Dusit Medical,BDMS.BK,Thailand,Healthcare,Health,Mature/Established,sector,63.7,52.9,50.2,51.2,42.0,0.12,0.46,0.3,0.12,0.18,unverified,-0.413,52.0,Overrated Leaders,"Product safety, labour conditions and access dominate; the footprint of a glove or device maker is small next to what a recall costs."
28,Kasikornbank,KBANK.BK,Thailand,Financial Services,Financial,Mature/Established,sector,70.0,44.7,47.0,44.7,55.1,0.15,0.25,0.45,0.15,0.382,unverified,0.326,44.4,Overrated Leaders,"A bank's own footprint is negligible; what actually breaks a bank is governance, so G leads and E enters only through financed exposure."
29,Maybank,1155.KL,Malaysia,Financial Services,Financial,Mature/Established,sector,72.0,43.9,47.8,40.7,38.1,0.15,0.25,0.45,0.15,0.217,unverified,-0.087,42.7,Overrated Leaders,"A bank's own footprint is negligible; what actually breaks a bank is governance, so G leads and E enters only through financed exposure."
30,Sime Darby,4197.KL,Malaysia,Industrials,Industrial,Mature/Established,sector,59.0,38.1,47.9,42.4,34.0,0.34,0.3,0.26,0.1,0.108,unverified,0.174,42.3,Value Traps,"Physical operations carry a real footprint and real worker-safety exposure, so E and S are close to balanced."
31,Bukalapak,BUKA,Indonesia,Technology,Digital,High-Growth/Scaling,sector,41.3,62.7,35.7,46.0,42.3,0.1,0.38,0.27,0.25,0.057,unverified,0.261,40.9,Value Traps,"No material footprint. The real risks are labour practice, data handling and founder control, and at this stage innovation genuinely is the moat."
32,Singtel,Z74,Singapore,Communication Services,Digital,Mature/Established,sector,73.0,37.4,38.2,34.3,56.8,0.14,0.34,0.34,0.18,0.467,unverified,-0.261,35.5,Overrated Leaders,A mature platform is judged on how it treats workers and users and on board discipline; being early to AI matters less once growth has settled.
33,Indofood,INDF,Indonesia,Consumer Defensive,Consumer,Mature/Established,sector,52.3,36.3,40.1,43.2,41.1,0.3,0.34,0.26,0.1,0.482,unverified,0.022,34.2,Value Traps,"The supply chain sits in both E and S — land use, sourcing, labour — and that is where consumer-facing scandals actually originate."
34,Airports of Thailand,AOT.BK,Thailand,Industrials,Industrial,Mature/Established,sector,64.0,31.9,25.3,32.9,35.1,0.34,0.3,0.26,0.1,0.0,unverified,-0.652,30.7,Overrated Leaders,"Physical operations carry a real footprint and real worker-safety exposure, so E and S are close to balanced."
35,PTT Public,PTT.BK,Thailand,Energy,Carbon-Intensive,Mature/Established,sector,56.0,29.6,43.9,36.4,60.2,0.5,0.18,0.24,0.08,0.608,unverified,0.065,29.6,Value Traps,"The energy transition IS the investment case here, so the emissions trend outweighs everything else; AI adoption is a rounding error on a refinery."
36,First Resources,EB5,Singapore,Consumer Defensive,Consumer,Mature/Established,sector,47.0,25.6,26.4,30.5,24.8,0.3,0.34,0.26,0.1,0.215,unverified,-0.109,26.4,Value Traps,"The supply chain sits in both E and S — land use, sourcing, labour — and that is where consumer-facing scandals actually originate."
37,Petronas Chemicals,5183.KL,Malaysia,Basic Materials,Carbon-Intensive,Mature/Established,sector,60.0,29.5,38.5,34.1,39.9,0.5,0.18,0.24,0.08,0.601,unverified,-0.217,26.2,Overrated Leaders,"The energy transition IS the investment case here, so the emissions trend outweighs everything else; AI adoption is a rounding error on a refinery."
38,Telkom Indonesia,TLK,Indonesia,Communication Services,Digital,Mature/Established,sector,58.4,37.4,22.1,19.9,35.5,0.14,0.34,0.34,0.18,0.05,unverified,-0.5,25.9,Value Traps,A mature platform is judged on how it treats workers and users and on board discipline; being early to AI matters less once growth has settled.
39,City Developments,C09,Singapore,Real Estate,Industrial,Mature/Established,sector,66.0,34.5,32.5,22.2,34.9,0.34,0.3,0.26,0.1,0.364,unverified,0.13,25.6,Overrated Leaders,"Physical operations carry a real footprint and real worker-safety exposure, so E and S are close to balanced."
40,Genting Singapore,G13,Singapore,Consumer Cyclical,Consumer,Mature/Established,sector,48.0,30.3,19.2,18.9,27.9,0.3,0.34,0.26,0.1,0.0,unverified,-0.13,23.3,Value Traps,"The supply chain sits in both E and S — land use, sourcing, labour — and that is where consumer-facing scandals actually originate."
41,Semen Indonesia,SMGR,Indonesia,Basic Materials,Carbon-Intensive,Mature/Established,sector,56.0,25.2,28.2,39.8,28.3,0.5,0.18,0.24,0.08,0.591,unverified,0.0,22.8,Value Traps,"The energy transition IS the investment case here, so the emissions trend outweighs everything else; AI adoption is a rounding error on a refinery."
42,Golden Agri-Res.,E5H,Singapore,Consumer Defensive,Consumer,Mature/Established,sector,42.0,21.0,26.9,37.9,28.1,0.3,0.34,0.26,0.1,0.544,unverified,0.087,21.4,Value Traps,"The supply chain sits in both E and S — land use, sourcing, labour — and that is where consumer-facing scandals actually originate."
43,Tenaga Nasional,5347.KL,Malaysia,Utilities,Carbon-Intensive,Mature/Established,sector,68.0,20.2,32.4,31.4,34.4,0.5,0.18,0.24,0.08,0.408,unverified,-0.348,19.9,Overrated Leaders,"The energy transition IS the investment case here, so the emissions trend outweighs everything else; AI adoption is a rounding error on a refinery."
44,Bumi Resources,BUMI,Indonesia,Energy,Carbon-Intensive,Mature/Established,sector,39.0,15.5,25.5,16.9,20.0,0.5,0.18,0.24,0.08,0.067,unverified,0.022,19.0,Value Traps,"The energy transition IS the investment case here, so the emissions trend outweighs everything else; AI adoption is a rounding error on a refinery."
45,PTTEP,PTTEP.BK,Thailand,Energy,Carbon-Intensive,Mature/Established,sector,55.0,15.5,32.7,25.0,44.6,0.5,0.18,0.24,0.08,0.65,unverified,-0.152,16.1,Value Traps,"The energy transition IS the investment case here, so the emissions trend outweighs everything else; AI adoption is a rounding error on a refinery."
46,Top Glove,7113.KL,Malaysia,Healthcare,Health,Mature/Established,sector,45.0,27.1,7.9,20.9,28.7,0.12,0.46,0.3,0.12,0.27,unverified,-0.109,11.7,Value Traps,"Product safety, labour conditions and access dominate; the footprint of a glove or device maker is small next to what a recall costs."
